,type,count,country,abbreviation
0,Dispensary,3929,KEN,
1,Medical Clinic,1164,KEN,
2,Health Centre,1047,KEN,
3,Clinic,612,KEN,
5,Hospital,277,KEN,
6,Medical Centre,216,KEN,
7,Nursing Home,119,KEN,
8,Sub District Hospital,91,KEN,
9,Sub County Hospital,87,KEN,
10,District Hospital,77,KEN,
11,Vct,63,KEN,
13,Medical Services,54,KEN,
14,Community Dispensary,44,KEN,
15,Health Care,42,KEN,
16,Health Services,41,KEN,
17,Health Clinic,36,KEN,
18,Maternity Nursing Home,32,KEN,
19,Model Health Centre,29,KEN,
22,Laboratory,20,KEN,Lab
23,Community Clinic,19,KEN,
24,Community Health Centre,13,KEN,
25,Health Center,13,KEN,
27,Med Clinic,12,KEN,
28,Health Care Clinic,11,KEN,
29,Maternity,11,KEN,
30,County Referral Hospital,11,KEN,
31,Vct Centre,11,KEN,
32,County Hospital,11,KEN,
34,Medical Care,10,KEN,
35,Medical Center,9,KEN,
36,Health Care Centre,9,KEN,
37,Sub County Referral Hospital,9,KEN,
38,Maternity Home,8,KEN,
40,Dental Clinic,8,KEN,
41,Medical Laboratory,8,KEN,
42,Community Hospital,7,KEN,
43,Community Medical Clinic,7,KEN,
44,Medical Dispensary,7,KEN,
45,Mobile Clinic,7,KEN,
46,Community Medical Centre,6,KEN,
47,Health Services Clinic,6,KEN,
48,County Refferal Hospital,6,KEN,
49,Hospital Clinic,6,KEN,
50,Nursing Maternity Home,6,KEN,
51,Community Health Clinic,5,KEN,
52,Maternity Hospital,5,KEN,
53,Health Medical Clinic,5,KEN,
54,Health Dispensary,5,KEN,
55,Community Health Care,4,KEN,
57,Clinic Laboratory,4,KEN,
58,Health Care Services,4,KEN,
61,Disp,4,KEN,
64,Sub County Refferal Hospital,3,KEN,
65,Nursing Home Maternity,3,KEN,
66,Hospital Medical Clinic,3,KEN,
67,Community Centre,3,KEN,
68,Beyond Zero Mobile Clinic,3,KEN,
70,Care Health Services,3,KEN,
72,Eye Clinic,3,KEN,
73,Medical Care Clinic,3,KEN,
76,Health Care Dispensary,2,KEN,
77,Medical Hospital,2,KEN,
78,Health Services Medical Clinic,2,KEN,
79,Community Health Services,2,KEN,
81,Clinic Lab Services,2,KEN,
82,Nursing Clinic,2,KEN,
83,Care Medical Clinic,2,KEN,
84,Health Medical Centre,2,KEN,
85,Care Centre,2,KEN,
86,Medical Clinic Laboratory,2,KEN,
