,words,frequency,country
0,Dispensary,3908,KEN
1,Centre,1012,KEN
2,Health,1001,KEN
3,Hospital,419,KEN
4,Clinic,242,KEN
5,Sub,177,KEN
6,District,170,KEN
8,County,134,KEN
9,Medical,116,KEN
12,Community,72,KEN
19,Zero,34,KEN
20,Beyond,34,KEN
24,Home,29,KEN
26,Mobile,28,KEN
28,Disp,26,KEN
31,Model,25,KEN
32,Center,24,KEN
33,Nursing,23,KEN
36,Referral,21,KEN
39,Vct,19,KEN
49,Maternity,14,KEN
64,Care,11,KEN
0,Dispensary,4003,KEN
1,Clinic,1966,KEN
2,Medical,1571,KEN
3,Centre,1454,KEN
4,Health,1345,KEN
5,Hospital,609,KEN
7,Sub,201,KEN
8,Home,181,KEN
9,District,173,KEN
10,Nursing,171,KEN
11,Services,147,KEN
12,County,142,KEN
13,Community,138,KEN
14,Care,127,KEN
19,Vct,82,KEN
20,Maternity,76,KEN
32,Laboratory,44,KEN
40,Center,35,KEN
44,Model,32,KEN
56,Referral,21,KEN
61,Med,20,KEN
68,Mobile,19,KEN
139,Dental,11,KEN
141,Refferal,11,KEN
146,Beyond,11,KEN
149,Zero,10,KEN
0,Dispensary,1198,KEN
1,Clinic,548,KEN
2,Medical,489,KEN
3,Centre,436,KEN
4,Hospital,418,KEN
5,Health,379,KEN
6,Sub,180,KEN
7,District,167,KEN
8,County,129,KEN
9,Home,102,KEN
10,Nursing,91,KEN
13,Maternity,75,KEN
14,Services,46,KEN
15,Care,45,KEN
16,Community,40,KEN
19,Referral,25,KEN
32,Center,15,KEN
43,Zero,11,KEN
45,Mobile,11,KEN
46,Beyond,11,KEN
0,Dispensary,4350,KEN
1,Centre,1098,KEN
2,Health,1080,KEN
3,Hospital,406,KEN
4,Clinic,313,KEN
5,District,251,KEN
7,Sub,158,KEN
10,Community,90,KEN
11,Medical,78,KEN
18,County,28,KEN
21,Model,25,KEN
34,Services,10,KEN
0,Dispensary,4817,KEN
1,Clinic,2862,KEN
2,Medical,2676,KEN
3,Centre,2097,KEN
4,Health,1703,KEN
5,Hospital,846,KEN
8,Home,301,KEN
10,Nursing,276,KEN
12,County,242,KEN
13,Sub,234,KEN
14,Community,199,KEN
16,District,124,KEN
19,Center,115,KEN
21,Maternity,107,KEN
28,Vct,86,KEN
35,Dental,67,KEN
38,Laboratory,62,KEN
45,Beyond,50,KEN
46,Zero,49,KEN
52,Mobile,45,KEN
54,Referral,42,KEN
56,Eye,42,KEN
64,Diagnostic,34,KEN
70,Med,32,KEN
81,Disp,28,KEN
83,Model,28,KEN
99,Lab,24,KEN
