type,count,country,abbreviation
Primary Health Centre,7204,Nigeria,PHC
Health Post,5523,Nigeria,HP
Health Clinic,3567,Nigeria,HC
Primary Health Clinic,2865,Nigeria,PHC
Hospital,2391,Nigeria,Hosp
Health Centre,2104,Nigeria,HC
Clinic,2051,Nigeria,Cln
Primary Health Care Centre,869,Nigeria,PHCC
Primary Health centre,820,Nigeria,PHC
Clinic Maternity,762,Nigeria,CM
Medical Centre,750,Nigeria,MC
General Hospital,597,Nigeria,GH
Hospital Maternity,456,Nigeria,HM
Primary Health Care,441,Nigeria,PHC
Health centre,437,Nigeria,HC
Maternity Home,409,Nigeria,MH
Basic Health Centre,382,Nigeria,BHC
Primary Health Care centre,375,Nigeria,PHCC
Dispensary,370,Nigeria,Disp
Specialist Hospital,365,Nigeria,SH
Comprehensive Health Centre,315,Nigeria,CHC
Maternity,269,Nigeria,Mat
Primary Health Post,230,Nigeria,PHP
Clinic Maternity Home,209,Nigeria,CMH
Primary Health Care Clinic,205,Nigeria,PHCC
Cottage Hospital,200,Nigeria,CH
Medical Clinic,179,Nigeria,MC
Maternal Child Health Clinic,170,Nigeria,MCHC
Basic Health Clinic,148,Nigeria,BHC
Nursing Home,146,Nigeria,NH
Medical centre,111,Nigeria,MC
Primary Health centre,101,Nigeria,PHC
Specialist Clinic,96,Nigeria,SC
Nursing Maternity Home,95,Nigeria,NMH
Maternity Clinic,89,Nigeria,MC
Basic Health centre,78,Nigeria,BHC
Staff Clinic,73,Nigeria,SC
Family Clinic,64,Nigeria,FC
Maternity Centre,55,Nigeria,MC
Maternal Child Health Centre,50,Nigeria,MCHC
Community Health Centre,49,Nigeria,CHC
Health Clinic Maternity,45,Nigeria,HCM
Primary Health,43,Nigeria,PH
Primary Healthcare centre,41,Nigeria,PHC
School Clinic,37,Nigeria,SC
Clinic Maternity Centre,36,Nigeria,CMC
Government Hospital,36,Nigeria,GH
Hospital Maternity Home,34,Nigeria,HMH
Specialist Hospital Maternity,33,Nigeria,SHM
Comprehensive Health centre,33,Nigeria,CHC
Medical Hospital,27,Nigeria,MH
Police Clinic,26,Nigeria,PC
University Teaching Hospital,26,Nigeria,UTH
Dental Clinic,25,Nigeria,DC
Medical Services,25,Nigeria,MS
Federal Medical Centre,25,Nigeria,FMC
Primary Health Centre Clinic,25,Nigeria,PHCC
Aged Widow Clinic,23,Nigeria,AWC
Maternal Child Health,23,Nigeria,MCH
Community Health Clinic,23,Nigeria,CHC
Primary Healthcare Centre,22,Nigeria,PHC
Clinic Hospital,21,Nigeria,CH
Central Hospital,21,Nigeria,CH
Health Clinc,21,Nigeria,HC
Maternity Hospital,20,Nigeria,MH
Community Hospital,20,Nigeria,CH
aged Widow Clinic,20,Nigeria,MCWC
Primary Centre,20,Nigeria,PC
Nursing Maternity,18,Nigeria,NM
State Hospital,18,Nigeria,SH
Hospital Annex,17,Nigeria,HA
Government Clinic,17,Nigeria,GC
Nursing Home Maternity,16,Nigeria,NHM
Clinic Home,15,Nigeria,CH
Community Clinic,15,Nigeria,CC
Government Health Post,14,Nigeria,GHP
Family Health Clinic,14,Nigeria,FHC
Primary Clinic,14,Nigeria,PC
Teaching Hospital,14,Nigeria,TH
Health Facility,13,Nigeria,HF
Eye Clinic,13,Nigeria,EC
Health Post,13,Nigeria,HP
Hospital,13,Nigeria,Hosp
Community Health Post,12,Nigeria,CHP
Medicare,12,Nigeria,Medc
Medical Clinic Maternity,12,Nigeria,MCM
Hospital Maternity Centre,11,Nigeria,HMC
Maternity Nursing Home,11,Nigeria,MNH
Police Hospital,11,Nigeria,PH
Primary Healthcare,11,Nigeria,PH
Primary Health centre Clinic,11,Nigeria,PHCC
Women Health Clinic,11,Nigeria,WHC
Hospital Clinic,11,Nigeria,HC
Clinic Annex,11,Nigeria,CA
Care Hospital Maternity,10,Nigeria,CHM
Government Health centre,10,Nigeria,GHC
Specialist Clinic Maternity,10,Nigeria,SCM
Maternity Home Clinic,10,Nigeria,MHC
Specialist,10,Nigeria,Sp
State Specialist Hospital,10,Nigeria,SSH
Private Clinic,10,Nigeria,PC
Health Care Centre,10,Nigeria,HCC
Central Primary Health Centre,10,Nigeria,CPHC
Family Hospital,10,Nigeria,FH
Tuberculosis Leprosy Clinic,10,Nigeria,TLC
Health Care Clinic,10,Nigeria,HCC
Psychiatric Hospital,10,Nigeria,PH
Government School Clinic,10,Nigeria,GSC
Community Health centre,9,Nigeria,CHC
Federal Clinic,9,Nigeria,FC
Primary Health Clinic Maternity,9,Nigeria,PHCM
Maternal Child Health Care,9,Nigeria,MCHC
School Health Clinic,9,Nigeria,SHC
Specialist Medical Centre,9,Nigeria,SMC
Primary Health Clinc,9,Nigeria,PHC
Primary health Centre,8,Nigeria,PHC
Maternity Child Health Clinic,8,Nigeria,MCHC
Medical Centre Annex,8,Nigeria,MCA
Comprehensive Primary Health Centre,8,Nigeria,CPHC
Army Clinic,8,Nigeria,AC
Care Clinic Maternity,8,Nigeria,CCM
Maternal Child Health centre,8,Nigeria,MCHC
Women Welfare Clinic,8,Nigeria,WWC
University Clinic,8,Nigeria,UC
Women Hospital,8,Nigeria,WH
Hospital Centre,7,Nigeria,HC
Primary Health Centre Centre,7,Nigeria,PHCC
Medical Laboratory,7,Nigeria,ML
Health Maternity,7,Nigeria,HM
Care,7,Nigeria,Care
Family Health,7,Nigeria,FH
Government Health Clinic,7,Nigeria,GHC
Clinics Maternity,7,Nigeria,CM
Family Primary Health Centre,7,Nigeria,FPHC
Primary Care centre,7,Nigeria,PCC
Infant Welfare Clinic,7,Nigeria,IWC
State Clinic,7,Nigeria,SC
Health Care centre,7,Nigeria,HCC
health Clinic,7,Nigeria,HC
Government Staff Clinic,7,Nigeria,GSC
Health Post,7,Nigeria,HP
Clinic,7,Nigeria,Cln
Prison Clinic,6,Nigeria,PC
Catholic Clinic,6,Nigeria,CC
Federal Health Centre,6,Nigeria,FHC
Referral Hospital,6,Nigeria,RH
Clinic Centre,6,Nigeria,CC
Maternal Child Clinic,6,Nigeria,MCC
University Medical Centre,6,Nigeria,UMC
Tuberculusis Leprosy Clinic,6,Nigeria,TLC
Eye Hospital,6,Nigeria,EH
Police Health Clinic,6,Nigeria,PHC
Hospital Home,6,Nigeria,HH
Primary healthCentre,6,Nigeria,PHC
Tuberculosis Leprosy,6,Nigeria,TL
Medicare Clinic,6,Nigeria,MC
Widow Aged Clinic,6,Nigeria,WAC
Clinic Andmaternity,6,Nigeria,CA
Care Medical Centre,6,Nigeria,CMC
Medical Care,6,Nigeria,MC
Comprehensive Health,5,Nigeria,CH
Maternity centre,5,Nigeria,MC
primary Health Clinic,5,Nigeria,PHC
Primary health Clinic,5,Nigeria,PHC
Health Clinic Annex,5,Nigeria,HCA
Basic Primary Health Centre,5,Nigeria,BPHC
Healthcare,5,Nigeria,HC
Army Hospital,5,Nigeria,AH
Healthpost,5,Nigeria,H
Clinic Maternity Hospital,5,Nigeria,CMH
Central Clinic,5,Nigeria,CC
Home Clinic,5,Nigeria,HC
Medical Health Clinic,5,Nigeria,MHC
Primary centre,5,Nigeria,PC
Care Maternity,5,Nigeria,CM
Primary health care Clinic,5,Nigeria,PC
National Primary Health Centre,5,Nigeria,NPHC
Mother Hospital Maternity,5,Nigeria,MHM
Staff Health Clinic,5,Nigeria,SHC
University Teaching Hospital,5,Nigeria,UTH
University Health Centre,5,Nigeria,UHC
Catholic Hospital Maternity,5,Nigeria,CHM
Clinic Maternity centre,5,Nigeria,CMC
Government School Health Clinic,5,Nigeria,GSHC
Primary Health clinic,5,Nigeria,PHC
Dispensary Maternity,5,Nigeria,DM
primary Health Centre,5,Nigeria,PHC
Health Clinic Maternity Home,5,Nigeria,HCMH
Care Specialist Hospital,5,Nigeria,CSH
Community Primary Health Centre,5,Nigeria,CPHC
Leprosy Clinic,5,Nigeria,LC
National Hospital,5,Nigeria,NH
Nursing Maternity Centre,4,Nigeria,NMC
Nursing Home Maternity Clinic,4,Nigeria,NHMC
Clinic Medical Centre,4,Nigeria,CMC
Clinic Marternity,4,Nigeria,CM
School Health Post,4,Nigeria,SHP
Mother Hospital,4,Nigeria,MH
Basic Clinic,4,Nigeria,BC
Family Medical Centre,4,Nigeria,FMC
University Health Clinic,4,Nigeria,UHC
Private Hospital,4,Nigeria,PH
Hospital Andmaternity,4,Nigeria,HA
Consultant Clinic,4,Nigeria,CC
Centre Clinic,4,Nigeria,CC
Primary School Clinic,4,Nigeria,PSC
Specialist Maternity,4,Nigeria,SM
Health Primary Health Clinic,4,Nigeria,HPHC
Services,4,Nigeria,Serv
Medical Clinic Maternity Home,4,Nigeria,MCMH
Clinic Maternity Annex,4,Nigeria,CMA
