,words,frequency,country
0,Health,26878,Nigeria
1,Primary,13471,Nigeria
2,Centre,12417,Nigeria
3,Clinic,11730,Nigeria
4,Post,5868,Nigeria
5,Hospital,4987,Nigeria
6,Maternity,3026,Nigeria
8,Care,2204,Nigeria
9,Center,2089,Nigeria
10,Medical,1378,Nigeria
11,Home,1181,Nigeria
12,Basic,640,Nigeria
13,Specialist,621,Nigeria
14,General,616,Nigeria
17,Dispensary,401,Nigeria
18,Comprehensive,379,Nigeria
19,Child,372,Nigeria
21,Memorial,346,Nigeria
22,Nursing,337,Nigeria
23,Maternal,291,Nigeria
26,Cottage,220,Nigeria
34,Family,159,Nigeria
35,Community,155,Nigeria
39,Government,138,Nigeria
45,Staff,113,Nigeria
48,Phc,109,Nigeria
49,School,107,Nigeria
55,Healthcare,94,Nigeria
56,Federal,93,Nigeria
59,University,86,Nigeria
69,Catholic,74,Nigeria
70,Annex,74,Nigeria
71,Welfare,73,Nigeria
72,Christ,73,Nigeria
75,State,70,Nigeria
77,Services,69,Nigeria
81,Police,65,Nigeria
92,Holy,59,Nigeria
96,Clinics,56,Nigeria
103,Teaching,52,Nigeria
113,Dental,46,Nigeria
116,Mother,45,Nigeria
127,Heath,42,Nigeria
133,Leprosy,40,Nigeria
136,Eye,39,Nigeria
150,National,36,Nigeria
165,Medicare,32,Nigeria
174,Widow,31,Nigeria
187,Diagnostic,30,Nigeria
224,Army,27,Nigeria
250,Heaith,25,Nigeria
255,Hosp,24,Nigeria
278,Tuberculosis,22,Nigeria
303,Private,21,Nigeria
308,Andmaternity,21,Nigeria
336,Psychiatric,19,Nigeria
424,Consultant,16,Nigeria
448,Laboratory,15,Nigeria
463,Primay,15,Nigeria
511,Facility,14,Nigeria
519,Infant,14,Nigeria
527,Hospitals,14,Nigeria
598,Optical,12,Nigeria
659,Miracle,11,Nigeria
672,Cinic,11,Nigeria
763,Tuberculusis,10,Nigeria
0,Health,28947,Nigeria
1,Center,18473,Nigeria
2,Primary,11697,Nigeria
3,Clinic,10760,Nigeria
4,Hospital,5697,Nigeria
5,Post,5152,Nigeria
6,Maternity,4568,Nigeria
7,Dispensary,4038,Nigeria
9,Care,2825,Nigeria
10,Medical,1641,Nigeria
11,Basic,1320,Nigeria
12,Home,1195,Nigeria
13,Child,697,Nigeria
14,General,692,Nigeria
16,Specialist,657,Nigeria
18,Community,648,Nigeria
19,Comprehensive,578,Nigeria
21,Maternal,377,Nigeria
24,Nursing,277,Nigeria
25,Government,271,Nigeria
27,Cottage,257,Nigeria
43,Laboratory,133,Nigeria
48,Federal,124,Nigeria
49,Diagnostic,120,Nigeria
62,Dental,98,Nigeria
64,Clinics,96,Nigeria
75,Services,83,Nigeria
76,Centre,82,Nigeria
82,Private,75,Nigeria
83,Central,73,Nigeria
88,Teaching,69,Nigeria
94,National,63,Nigeria
98,Facility,61,Nigeria
100,Healthcare,60,Nigeria
115,Women,52,Nigeria
119,Mother,52,Nigeria
190,Hospitals,37,Nigeria
191,Med,37,Nigeria
206,Facilities,34,Nigeria
266,Asibitin,27,Nigeria
316,Medicare,24,Nigeria
332,Pharmacy,22,Nigeria
335,Optical,22,Nigeria
382,Diagnostics,19,Nigeria
396,Healthpost,19,Nigeria
402,Hopital,18,Nigeria
438,Psychiatric,17,Nigeria
439,Tuberculosis,17,Nigeria
441,Marternity,17,Nigeria
471,Infant,16,Nigeria
477,Consultant,16,Nigeria
489,Maternityernal,16,Nigeria
539,Laboratories,15,Nigeria
547,Herbal,15,Nigeria
581,Clinc,14,Nigeria
626,Scan,13,Nigeria
658,Aged,12,Nigeria
692,Ultrasound,12,Nigeria
727,Asibiti,11,Nigeria
743,Clinical,11,Nigeria
772,Meternity,11,Nigeria
811,Despensary,11,Nigeria
812,Traditional,11,Nigeria
818,Orphans,10,Nigeria
820,Childrens,10,Nigeria
860,Motherless,10,Nigeria
0,Health,26892,Nigeria
1,Center,17677,Nigeria
2,Primary,11018,Nigeria
3,Clinic,9814,Nigeria
4,Hospital,5478,Nigeria
5,Post,4816,Nigeria
