,name,word,misspelling,frequency,score
28,SLE,center,cente,1,91
21,SLE,center,cente,1,91
35,SLE,centre,cenre,2,91
28,SLE,centre,cenre,1,91
6,SLE,centre,cenre,1,91
58,SLE,centre,cenre,1,91
37,SLE,centre,cente,1,91
27,SLE,centre,cente,1,91
5,SLE,centre,centres,1,92
57,SLE,centre,centres,1,92
36,SLE,centre,cetre,1,91
29,SLE,centre,cetre,1,91
10,SLE,clinic,cclinic,1,92
5,SLE,clinic,cilinic,1,92
1,SLE,clinic,cilinic,1,92
11,SLE,clinic,cilinic,2,92
7,SLE,clinic,cinic,1,91
2,SLE,clinic,clinc,2,91
0,SLE,clinic,clinc,1,91
3,SLE,clinic,clinc,1,91
6,SLE,clinic,clinc,6,91
4,SLE,clinic,clnic,1,91
12,SLE,clinic,clnic,1,91
0,SLE,county,couty,1,91
27,SLE,diagnostic,diagnstic,1,95
32,SLE,diagnostic,diagnstic,1,95
26,SLE,diagnostic,dignostic,1,95
33,SLE,diagnostic,dignostic,1,95
11,SLE,dispensary,despensary,1,90
35,SLE,dispensary,diapensary,1,90
13,SLE,dispensary,diispensary,1,95
50,SLE,dispensary,diispensary,1,95
21,SLE,dispensary,dipensary,8,95
4,SLE,dispensary,dipensary,6,95
9,SLE,dispensary,dipensary,3,95
34,SLE,dispensary,dipensary,9,95
24,SLE,dispensary,dipsensary,1,90
22,SLE,dispensary,disensary,2,95
19,SLE,dispensary,disensary,1,95
52,SLE,dispensary,disensary,1,95
20,SLE,dispensary,disgpensary,1,95
37,SLE,dispensary,disgpensary,1,95
16,SLE,dispensary,dispeensary,1,95
12,SLE,dispensary,dispeensary,1,95
49,SLE,dispensary,dispeensary,1,95
19,SLE,dispensary,dispenary,4,95
10,SLE,dispensary,dispenary,3,95
11,SLE,dispensary,dispenary,1,95
47,SLE,dispensary,dispenary,2,95
16,SLE,dispensary,dispenasary,3,95
51,SLE,dispensary,dispenasary,1,95
17,SLE,dispensary,dispenasry,4,90
7,SLE,dispensary,dispenasry,7,90
8,SLE,dispensary,dispenasry,2,90
43,SLE,dispensary,dispenasry,4,90
36,SLE,dispensary,dispendary,1,90
18,SLE,dispensary,dispensar,1,95
17,SLE,dispensary,dispensara,1,90
38,SLE,dispensary,dispensara,1,90
25,SLE,dispensary,dispensarry,1,95
46,SLE,dispensary,dispensaty,1,90
20,SLE,dispensary,dispensay,3,95
14,SLE,dispensary,dispensay,3,95
13,SLE,dispensary,dispensay,1,95
42,SLE,dispensary,dispensay,4,95
5,SLE,dispensary,dispensery,1,90
44,SLE,dispensary,dispensery,1,90
12,SLE,dispensary,dispensry,2,95
41,SLE,dispensary,dispensry,1,95
15,SLE,dispensary,dispesary,6,95
6,SLE,dispensary,dispesary,2,95
40,SLE,dispensary,dispesary,5,95
15,SLE,dispensary,dispesnsary,1,95
18,SLE,dispensary,disprnsary,1,90
39,SLE,dispensary,disprnsary,1,90
8,SLE,dispensary,distensary,1,90
45,SLE,dispensary,distensary,1,90
23,SLE,dispensary,dspensary,2,95
9,SLE,dispensary,dspensary,3,95
10,SLE,dispensary,dspensary,1,95
48,SLE,dispensary,dspensary,5,95
2,SLE,district,distrct,1,93
13,SLE,health,healh,4,91
2,SLE,health,healh,1,91
56,SLE,health,healh,1,91
54,SLE,health,heallth,1,92
12,SLE,health,heath,3,91
55,SLE,health,heath,2,91
23,SLE,hospital,hopspital,1,94
33,SLE,hospital,hospial,2,93
25,SLE,hospital,hospial,2,93
16,SLE,hospital,hospial,1,93
24,SLE,hospital,hospial,2,93
21,SLE,hospital,hospita,1,93
26,SLE,hospital,hospitals,1,94
17,SLE,hospital,hospitals,2,94
22,SLE,hospital,hospitals,5,94
34,SLE,hospital,hosptial,1,88
24,SLE,hospital,hosptial,1,88
4,SLE,hospital,hosptial,1,88
39,SLE,laboratory,labaratory,1,90
29,SLE,laboratory,labaratory,1,90
28,SLE,laboratory,labolatory,1,90
40,SLE,laboratory,laboratoy,1,95
7,SLE,maternity,martenity,1,89
6,SLE,maternity,marternity,2,95
1,SLE,maternity,marternity,1,95
5,SLE,maternity,marternity,1,95
26,SLE,maternity,marternity,3,95
8,SLE,maternity,materinty,1,89
4,SLE,maternity,materinty,1,89
27,SLE,maternity,materinty,1,89
25,SLE,maternity,meternity,1,89
6,SLE,medical,medcal,1,92
19,SLE,medical,medcal,2,92
11,SLE,medical,mediacl,1,86
18,SLE,medical,mediacl,2,86
9,SLE,medical,medial,2,92
20,SLE,medical,medial,3,92
16,SLE,medical,medica,1,92
17,SLE,medical,medicall,1,93
10,SLE,medical,medicl,1,92
15,SLE,medical,medigal,1,86
14,SLE,medical,midical,1,86
38,SLE,nursing,nurising,1,93
18,SLE,nursing,nurising,1,93
53,SLE,nursing,nurising,1,93
32,SLE,referral,referal,5,93
23,SLE,referral,referal,2,93
15,SLE,referral,referal,2,93
3,SLE,referral,referal,1,93
59,SLE,referral,referal,1,93
14,SLE,referral,refferal,5,93
3,SLE,referral,refferal,2,93
7,SLE,referral,refferal,2,93
0,SLE,referral,refferal,1,93
30,SLE,referral,refferal,1,93
30,SLE,services,service,13,93
22,SLE,services,service,4,93
1,SLE,services,service,16,93
31,SLE,services,servics,1,93
2,SLE,services,servics,2,93
3,SLE,services,servises,2,88
4,SLE,services,sevices,1,93
